"Geneid","SVG09","SVG10","SVG11","SVG12","SVG13","SVG14"
"Mb3847",603,803,711,730,510,560
"Mb0224",638,823,700,718,656,469
"Mb0026",499,576,496,833,749,555
"Mb0935",1277,1349,1321,705,613,524
"Mb3676",548,720,542,483,393,335
"Mb2651",761,690,785,615,588,523
"Mb2948C",688,773,639,638,462,471
"Mb1792C",352,389,379,607,511,496
"Mb0123",248,354,315,443,372,367
"Mb0677C",915,1023,959,1090,670,834
"Mb2850C",1102,1178,1070,496,485,388
"Mb3004",279,289,314,433,332,325
"Mb3353C",654,516,554,633,811,376
"Mb1104C",555,542,540,779,521,501
"Mb3340C",251,328,296,706,569,475
"Mb3370",1119,1560,1242,603,508,526
"Mb3229",450,439,490,515,430,408
"Mb2430",273,295,266,394,412,343
"Mb3859C",526,672,612,694,499,465
"Mb2775C",319,438,446,782,372,532
"Mb3415C",1172,1224,1024,710,612,643
"Mb1058",314,392,347,587,341,489
"Mb3350C",938,1039,907,779,591,620
"Mb0958",1180,1085,1218,734,442,665
"Mb0789C",486,527,503,565,357,448
"Mb2819C",552,699,710,621,550,422
"Mb0600C",617,746,682,677,613,453
"Mb0491C",490,431,513,802,751,516
"Mb0387C",658,572,628,758,634,635
"Mb1231C",396,418,379,752,504,604
"Mb2150C",603,671,628,866,1030,514
"Mb2361C",714,633,717,652,809,514
"Mb0892C",881,718,848,836,829,644
"Mb3578C",1216,1710,1322,787,593,609
"Mb1200C",1205,1021,1290,724,631,610
"Mb3796C",384,418,487,645,438,505
"Mb2758C",644,836,682,978,660,713
"Mb3345",441,540,449,580,499,600
"Mb3105",248,281,305,795,590,625
"Mb2887C",649,726,641,559,483,457
"Mb3427C",523,741,657,297,328,224
"Mb0936",786,934,838,660,554,523
"Mb0808",527,525,513,560,452,484
"Mb1204",1225,1159,1256,809,1035,586
"Mb0414C",496,495,525,605,482,536
"Mb0772",671,518,614,459,431,496
"Mb2954",540,508,581,807,425,701
"Mb3108",327,364,364,647,530,604
"Mb0113",353,514,454,524,651,299
"Mb0905",416,560,464,845,563,732
"Mb2632",362,387,349,727,808,490
"Mb0732",1569,1081,1281,525,501,456
"Mb1911",439,477,471,480,523,433
"Mb0633A",842,795,927,558,397,419
"Mb3098",579,579,595,586,381,412
"Mb0246",1374,1073,1298,790,549,568
"Mb3167",244,252,228,774,491,620
"Mb3007",518,674,512,385,279,303
"Mb1836",215,179,129,168,163,137
"Mb2581C",1194,1381,1093,655,556,452
"Mb0626",865,636,746,451,392,401
"Mb1162",455,963,623,81,93,68
"Mb2312",484,590,493,637,345,605
"Mb2627",701,645,614,663,490,591
"Mb1160C",979,1450,1383,310,274,227
"Mb0338",255,264,296,390,261,311
"Mb2379",986,680,842,589,463,489
"Mb1879",681,675,724,520,415,426
"Mb2546C",428,347,375,262,268,243
"Mb2673C",893,773,791,515,612,411
"Mb3560C",879,785,785,324,307,255
"Mb2485",838,632,681,656,525,542
"Mb3314C",695,662,596,592,609,557
"Mb0367C",127,152,128,538,427,299
"Mb2731C",951,987,1001,761,755,679
"Mb0933",1371,1159,1401,692,614,620
"Mb2533C",302,323,314,600,625,511
"Mb2599C",477,438,493,563,414,472
"Mb3416C",633,832,729,1001,564,659
"Mb3598C",844,788,835,617,569,420
"Mb3818",392,433,503,705,464,630
"Mb1979C",277,344,273,431,261,432
"Mb2000",650,584,606,514,376,407
"Mb2603",428,500,516,697,488,455
"Mb0629",595,603,596,492,428,388
"Mb0765C",575,539,589,738,465,663
"Mb2460C",639,748,691,479,472,407
"Mb1079",199,191,226,709,472,570
"Mb3394",430,487,500,687,466,562
"Mb3426C",482,742,525,356,340,187
"Mb0200",361,337,325,390,292,297
"Mb3093",444,343,388,624,513,474
"Mb2102C",161,252,187,486,292,413
"Mb0319",492,504,509,663,472,509
"Mb1011C",278,255,305,535,348,445
"Mb0581C",385,373,379,451,372,422
"Mb3464C",398,476,530,701,586,600
"Mb3941",1002,952,925,789,627,629
"Mb2004A",412,320,427,516,460,358
"Mb0114",815,869,763,572,497,512
"Mb3087C",1279,929,1056,480,518,343
"Mb3207C",206,201,211,299,229,260
"Mb0716",818,1014,757,482,777,289
"Mb1558",465,625,523,534,371,477
"Mb2399C",1197,983,1010,714,437,498
"Mb3210",197,154,202,271,237,179
"Mb0580C",363,399,456,536,401,441
"Mb1855",474,564,553,609,468,446
"Mb1796",936,1006,864,588,480,493
"Mb3384C",435,484,430,560,417,388
"Mb3703C",849,751,794,820,510,672
"Mb0468",222,225,246,552,665,307
"Mb1377C",668,607,773,916,681,888
"Mb3766C",14443,1307,6425,827,707,600
"Mb3516",710,839,804,713,488,768
"Mb3825",608,614,711,813,531,664
"Mb1752",310,448,384,600,376,361
"Mb0240C",790,856,850,580,429,577
"Mb0985",513,534,526,699,551,567
"Mb3874",846,1005,847,480,380,369
"Mb0428C",577,699,639,531,378,391
"Mb3543",322,335,189,320,361,137
"Mb2714",385,438,446,559,492,328
"Mb2403C",259,217,188,559,284,494
"Mb2365C",597,568,522,672,747,442
"Mb0875",112,212,181,405,464,337
"Mb1012",732,541,702,461,316,400
"Mb1440C",293,271,311,201,168,149
"Mb3337C",409,370,348,501,370,422
